ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
168,0.250,0.250,0.250,0.250,0.000,0.000,13.70%,-1.03%,0.900159240861221,9.88%,65.00%,30.00%,0.467,0.610,0.374,0.337,0.457,0.400
169,0.250,0.250,0.250,0.000,0.250,0.000,12.80%,-1.16%,0.874285704241263,9.20%,65.00%,35.00%,0.432,0.586,0.353,0.290,0.457,0.500
170,0.250,0.250,0.000,0.250,0.250,0.000,17.23%,-0.59%,0.952110264178381,9.05%,70.00%,35.00%,0.608,0.690,0.415,0.278,0.543,0.500
171,0.250,0.000,0.250,0.250,0.250,0.000,10.14%,-1.54%,0.82174432234448,8.64%,60.00%,25.00%,0.325,0.517,0.311,0.249,0.371,0.300
172,0.000,0.250,0.250,0.250,0.250,0.000,17.78%,-1.43%,1.14913488514914,10.02%,60.00%,40.00%,0.630,0.538,0.571,0.347,0.371,0.600
173,0.250,0.250,0.250,0.000,0.000,0.250,11.99%,-1.28%,0.88630861495049,10.61%,60.00%,35.00%,0.399,0.564,0.363,0.389,0.371,0.500
174,0.250,0.250,0.000,0.250,0.000,0.250,16.21%,0.02%,0.801211447249687,9.42%,65.00%,45.00%,0.568,0.800,0.295,0.305,0.457,0.700
175,0.250,0.000,0.250,0.250,0.000,0.250,10.36%,-1.66%,0.885673561661748,10.58%,50.00%,25.00%,0.334,0.496,0.362,0.387,0.200,0.300
176,0.000,0.250,0.250,0.250,0.000,0.250,15.67%,-1.20%,1.03281216919258,10.67%,65.00%,35.00%,0.546,0.578,0.479,0.393,0.457,0.500
177,0.250,0.250,0.000,0.000,0.250,0.250,13.89%,-0.70%,0.836850998385763,9.44%,75.00%,40.00%,0.475,0.670,0.323,0.306,0.629,0.600
178,0.250,0.000,0.250,0.000,0.250,0.250,10.03%,-1.96%,0.919782099694458,10.15%,65.00%,35.00%,0.321,0.442,0.389,0.356,0.457,0.500
179,0.000,0.250,0.250,0.000,0.250,0.250,14.98%,-1.36%,1.01420285374127,9.70%,65.00%,45.00%,0.518,0.550,0.464,0.325,0.457,0.700
180,0.250,0.000,0.000,0.250,0.250,0.250,13.06%,-0.79%,0.804670862365341,8.54%,65.00%,20.00%,0.442,0.653,0.298,0.242,0.457,0.200
181,0.000,0.250,0.000,0.250,0.250,0.250,21.92%,-0.51%,1.16365777670092,11.04%,65.00%,40.00%,0.796,0.704,0.582,0.419,0.457,0.600
182,0.000,0.000,0.250,0.250,0.250,0.250,12.48%,-1.66%,0.96274753765473,9.55%,65.00%,35.00%,0.419,0.495,0.423,0.314,0.457,0.500
183,0.200,0.200,0.200,0.200,0.200,0.000,13.87%,-1.06%,0.902265557095482,9.29%,70.00%,30.00%,0.474,0.604,0.375,0.296,0.543,0.400
184,0.200,0.200,0.200,0.200,0.000,0.200,14.11%,-0.90%,0.895338519091244,10.04%,60.00%,30.00%,0.484,0.634,0.370,0.348,0.371,0.400
185,0.200,0.200,0.200,0.000,0.200,0.200,11.64%,-1.55%,0.91270622447465,10.11%,70.00%,40.00%,0.385,0.516,0.383,0.354,0.543,0.600
186,0.200,0.200,0.000,0.200,0.200,0.200,16.06%,-0.72%,0.930771321318357,9.20%,70.00%,40.00%,0.562,0.666,0.398,0.289,0.543,0.600
187,0.200,0.000,0.200,0.200,0.200,0.200,11.47%,-1.31%,0.853121554164011,9.71%,55.00%,30.00%,0.378,0.558,0.336,0.325,0.286,0.400
188,0.000,0.200,0.200,0.200,0.200,0.200,17.03%,-1.30%,1.09642607605322,10.05%,65.00%,30.00%,0.600,0.561,0.529,0.349,0.457,0.400
189,0.167,0.167,0.167,0.167,0.167,0.167,13.73%,-1.11%,0.910100800805274,9.50%,70.00%,35.00%,0.469,0.595,0.381,0.311,0.543,0.500
190,1.000,0.000,0.000,0.000,0.000,0.000,22.18%,6.29%,1.58044040356646,16.44%,65.00%,80.00%,0.647,0.688,0.800,0.800,0.457,0.650
191,0.000,1.000,0.000,0.000,0.000,0.000,14.24%,3.99%,1.20756114947585,12.08%,55.00%,80.00%,0.492,0.495,0.488,0.461,0.286,0.650
192,0.000,0.000,1.000,0.000,0.000,0.000,29.57%,7.62%,1.31686207007236,14.78%,65.00%,85.00%,0.791,0.800,0.580,0.671,0.457,0.725
193,0.000,0.000,0.000,1.000,0.000,0.000,0.21%,1.25%,1.43796367969383,15.97%,50.00%,55.00%,0.218,0.264,0.681,0.764,0.200,0.275
194,0.000,0.000,0.000,0.000,1.000,0.000,3.05%,1.23%,1.10928734225536,10.45%,60.00%,75.00%,0.274,0.263,0.406,0.333,0.371,0.575
195,0.000,0.000,0.000,0.000,0.000,1.000,8.83%,3.14%,1.47953852985436,15.19%,55.00%,65.00%,0.387,0.423,0.716,0.703,0.286,0.425
196,0.500,0.500,0.000,0.000,0.000,0.000,29.75%,7.16%,0.902055261328428,10.25%,80.00%,85.00%,0.795,0.762,0.233,0.318,0.714,0.725
197,0.500,0.000,0.500,0.000,0.000,0.000,26.86%,7.14%,1.36887979640848,15.28%,65.00%,75.00%,0.738,0.760,0.623,0.710,0.457,0.575
198,0.000,0.500,0.500,0.000,0.000,0.000,28.23%,6.96%,1.04927138382189,11.51%,80.00%,85.00%,0.765,0.745,0.356,0.416,0.714,0.725
199,0.500,0.000,0.000,0.500,0.000,0.000,20.03%,5.33%,1.10871549054225,12.28%,75.00%,70.00%,0.605,0.608,0.406,0.476,0.629,0.500
200,0.000,0.500,0.000,0.500,0.000,0.000,11.94%,3.40%,1.05805568485851,11.20%,60.00%,80.00%,0.447,0.445,0.364,0.392,0.371,0.650
201,0.000,0.000,0.500,0.500,0.000,0.000,24.25%,6.39%,1.18958930293802,13.51%,70.00%,85.00%,0.688,0.697,0.473,0.572,0.543,0.725
202,0.500,0.000,0.000,0.000,0.500,0.000,18.15%,4.92%,1.21834036559764,12.35%,70.00%,85.00%,0.568,0.573,0.497,0.482,0.543,0.725
203,0.000,0.500,0.000,0.000,0.500,0.000,8.65%,2.42%,0.916896278879272,8.74%,60.00%,90.00%,0.383,0.362,0.246,0.200,0.371,0.800
204,0.000,0.000,0.500,0.000,0.500,0.000,19.54%,5.09%,1.02851719792512,10.98%,75.00%,90.00%,0.596,0.587,0.339,0.375,0.629,0.800
205,0.000,0.000,0.000,0.500,0.500,0.000,-0.72%,0.49%,1.1419565597091,11.95%,55.00%,70.00%,0.200,0.200,0.434,0.450,0.286,0.500
206,0.500,0.000,0.000,0.000,0.000,0.500,20.64%,5.71%,1.36470891519764,14.57%,65.00%,75.00%,0.617,0.640,0.620,0.654,0.457,0.575
207,0.000,0.500,0.000,0.000,0.000,0.500,20.03%,5.27%,1.10465895420441,12.00%,65.00%,80.00%,0.605,0.602,0.403,0.454,0.457,0.650
208,0.000,0.000,0.500,0.000,0.000,0.500,22.92%,6.23%,1.28611536585045,14.60%,65.00%,70.00%,0.662,0.683,0.554,0.657,0.457,0.500
209,0.000,0.000,0.000,0.500,0.000,0.500,7.15%,2.66%,1.27420997455208,14.37%,55.00%,50.00%,0.354,0.383,0.544,0.639,0.286,0.200
210,0.000,0.000,0.000,0.000,0.500,0.500,5.61%,2.07%,1.31196999833117,12.64%,60.00%,65.00%,0.324,0.333,0.576,0.504,0.371,0.425
211,0.333,0.333,0.333,0.000,0.000,0.000,30.01%,7.40%,1.06721770622364,12.06%,85.00%,85.00%,0.800,0.781,0.371,0.459,0.800,0.725
212,0.333,0.333,0.000,0.333,0.000,0.000,26.16%,6.37%,0.862257181782766,9.71%,85.00%,90.00%,0.725,0.695,0.200,0.276,0.800,0.800
213,0.333,0.000,0.333,0.333,0.000,0.000,25.29%,6.52%,1.14621140883728,12.87%,75.00%,70.00%,0.708,0.708,0.437,0.522,0.629,0.500
214,0.000,0.333,0.333,0.333,0.000,0.000,23.14%,5.88%,1.02522694148741,11.28%,80.00%,80.00%,0.666,0.654,0.336,0.398,0.714,0.650
215,0.333,0.333,0.000,0.000,0.333,0.000,19.41%,4.90%,0.865789536678537,9.29%,80.00%,85.00%,0.593,0.571,0.203,0.243,0.714,0.725
216,0.333,0.000,0.333,0.000,0.333,0.000,24.11%,6.29%,1.22205461371747,13.07%,70.00%,90.00%,0.685,0.688,0.501,0.538,0.543,0.800
217,0.000,0.333,0.333,0.000,0.333,0.000,19.00%,4.81%,0.889621833936658,9.33%,80.00%,90.00%,0.585,0.564,0.223,0.246,0.714,0.800
218,0.333,0.000,0.000,0.333,0.333,0.000,15.17%,4.05%,1.02623592478609,10.34%,65.00%,80.00%,0.510,0.500,0.337,0.325,0.457,0.650
219,0.000,0.333,0.000,0.333,0.333,0.000,5.69%,1.78%,0.95005973510497,9.44%,60.00%,80.00%,0.325,0.308,0.273,0.255,0.371,0.650
220,0.000,0.000,0.333,0.333,0.333,0.000,16.55%,4.39%,1.03267545378547,10.64%,70.00%,90.00%,0.537,0.529,0.342,0.348,0.543,0.800
221,0.333,0.333,0.000,0.000,0.000,0.333,27.94%,6.82%,0.894291581740562,10.60%,80.00%,80.00%,0.760,0.733,0.227,0.345,0.714,0.650
222,0.333,0.000,0.333,0.000,0.000,0.333,24.29%,6.52%,1.31297562727847,14.66%,65.00%,70.00%,0.688,0.708,0.577,0.661,0.457,0.500
223,0.000,0.333,0.333,0.000,0.000,0.333,28.80%,7.18%,1.09791237160339,12.45%,75.00%,80.00%,0.776,0.763,0.397,0.489,0.629,0.650
224,0.333,0.000,0.000,0.333,0.000,0.333,15.93%,4.39%,1.04815140483215,11.92%,70.00%,65.00%,0.525,0.528,0.355,0.448,0.543,0.425
225,0.000,0.333,0.000,0.333,0.000,0.333,16.64%,4.43%,0.961474065301305,10.97%,65.00%,75.00%,0.539,0.532,0.283,0.374,0.457,0.575
226,0.000,0.000,0.333,0.333,0.000,0.333,21.28%,5.78%,1.20118270306259,13.78%,70.00%,70.00%,0.630,0.645,0.483,0.593,0.543,0.500
227,0.333,0.000,0.000,0.000,0.333,0.333,19.84%,5.50%,1.37968626091211,14.15%,70.00%,80.00%,0.602,0.622,0.632,0.622,0.543,0.650
228,0.000,0.333,0.000,0.000,0.333,0.333,13.61%,3.63%,0.990142126972353,9.71%,55.00%,85.00%,0.480,0.464,0.307,0.275,0.286,0.725
229,0.000,0.000,0.333,0.000,0.333,0.333,22.65%,5.96%,1.1839961819191,12.94%,70.00%,75.00%,0.656,0.661,0.469,0.528,0.543,0.575
230,0.000,0.000,0.000,0.333,0.333,0.333,1.16%,1.20%,1.3091877304767,14.06%,50.00%,50.00%,0.237,0.260,0.573,0.615,0.200,0.200
231,0.250,0.250,0.250,0.250,0.000,0.000,27.50%,6.84%,1.02802871894279,11.64%,85.00%,85.00%,0.751,0.735,0.338,0.426,0.800,0.725
232,0.250,0.250,0.250,0.000,0.250,0.000,25.62%,6.39%,1.0284686868621,11.08%,80.00%,90.00%,0.714,0.697,0.339,0.383,0.714,0.800
233,0.250,0.250,0.000,0.250,0.250,0.000,16.35%,4.21%,0.887199273376653,9.12%,75.00%,85.00%,0.533,0.513,0.221,0.230,0.629,0.725
234,0.250,0.000,0.250,0.250,0.250,0.000,23.07%,5.92%,1.08146677439444,11.58%,70.00%,85.00%,0.665,0.657,0.383,0.421,0.543,0.725
235,0.000,0.250,0.250,0.250,0.250,0.000,16.12%,4.18%,0.915069481971682,9.40%,70.00%,85.00%,0.529,0.510,0.244,0.252,0.543,0.725
236,0.250,0.250,0.250,0.000,0.000,0.250,28.09%,7.06%,1.08141567046545,12.64%,75.00%,85.00%,0.763,0.753,0.383,0.504,0.629,0.725
237,0.250,0.250,0.000,0.250,0.000,0.250,23.88%,5.95%,0.885613987015488,10.41%,70.00%,85.00%,0.680,0.660,0.220,0.330,0.543,0.725
238,0.250,0.000,0.250,0.250,0.000,0.250,24.33%,6.42%,1.17513406133545,13.79%,70.00%,65.00%,0.689,0.700,0.461,0.593,0.543,0.425
239,0.000,0.250,0.250,0.250,0.000,0.250,24.13%,6.21%,1.08849983037164,12.40%,75.00%,80.00%,0.685,0.682,0.389,0.486,0.629,0.650
240,0.250,0.250,0.000,0.000,0.250,0.250,24.44%,6.03%,0.908558879858028,9.91%,80.00%,85.00%,0.691,0.666,0.239,0.291,0.714,0.725
241,0.250,0.000,0.250,0.000,0.250,0.250,24.92%,6.56%,1.30145407560761,14.00%,70.00%,80.00%,0.701,0.711,0.567,0.610,0.543,0.650
242,0.000,0.250,0.250,0.000,0.250,0.250,23.17%,5.84%,1.01368370852621,10.81%,80.00%,80.00%,0.666,0.650,0.327,0.361,0.714,0.650
243,0.250,0.000,0.000,0.250,0.250,0.250,16.67%,4.54%,1.06851009380207,11.76%,70.00%,70.00%,0.540,0.541,0.372,0.435,0.543,0.500
244,0.000,0.250,0.000,0.250,0.250,0.250,10.98%,3.10%,1.01362853110589,10.42%,55.00%,75.00%,0.429,0.419,0.326,0.331,0.286,0.575
245,0.000,0.000,0.250,0.250,0.250,0.250,19.19%,5.17%,1.13350154793691,12.41%,65.00%,75.00%,0.589,0.594,0.427,0.486,0.457,0.575
246,0.200,0.200,0.200,0.200,0.200,0.000,24.23%,6.03%,0.975507153222619,10.42%,80.00%,85.00%,0.687,0.667,0.295,0.331,0.714,0.725
247,0.200,0.200,0.200,0.200,0.000,0.200,26.76%,6.74%,1.01917258093504,12.09%,75.00%,85.00%,0.736,0.726,0.331,0.461,0.629,0.725
248,0.200,0.200,0.200,0.000,0.200,0.200,27.64%,6.91%,1.08058288337879,12.03%,75.00%,85.00%,0.754,0.741,0.382,0.456,0.629,0.725
249,0.200,0.200,0.000,0.200,0.200,0.200,19.50%,4.96%,0.908428925643007,9.80%,80.00%,85.00%,0.595,0.576,0.239,0.282,0.714,0.725
250,0.200,0.000,0.200,0.200,0.200,0.200,24.20%,6.28%,1.14972987871062,12.73%,75.00%,75.00%,0.687,0.687,0.440,0.511,0.629,0.575
251,0.000,0.200,0.200,0.200,0.200,0.200,20.01%,5.13%,0.99765594882205,10.54%,70.00%,90.00%,0.605,0.591,0.313,0.341,0.543,0.800
252,0.167,0.167,0.167,0.167,0.167,0.167,26.69%,6.63%,0.998147585233246,11.20%,80.00%,85.00%,0.735,0.717,0.314,0.392,0.714,0.725
253,1.000,0.000,0.000,0.000,0.000,0.000,1.95%,1.34%,1.90260785842194,21.86%,60.00%,40.00%,0.488,0.609,0.781,0.800,0.680,0.333
254,0.000,1.000,0.000,0.000,0.000,0.000,2.38%,0.64%,1.26328666976097,12.87%,55.00%,65.00%,0.505,0.508,0.444,0.414,0.560,0.667
255,0.000,0.000,1.000,0.000,0.000,0.000,8.03%,2.65%,1.89433911474852,20.83%,55.00%,50.00%,0.728,0.800,0.776,0.756,0.560,0.467
256,0.000,0.000,0.000,1.000,0.000,0.000,-0.67%,0.07%,1.42545367196926,15.55%,55.00%,35.00%,0.385,0.426,0.529,0.529,0.560,0.267
257,0.000,0.000,0.000,0.000,1.000,0.000,2.20%,0.44%,1.09457872420659,10.67%,65.00%,70.00%,0.498,0.479,0.355,0.320,0.800,0.733
258,0.000,0.000,0.000,0.000,0.000,1.000,-5.34%,-1.49%,0.859994814225728,8.89%,40.00%,30.00%,0.200,0.200,0.231,0.243,0.200,0.200
259,0.500,0.500,0.000,0.000,0.000,0.000,6.19%,1.63%,1.39219244061401,14.41%,55.00%,65.00%,0.656,0.652,0.512,0.480,0.560,0.667
260,0.500,0.000,0.500,0.000,0.000,0.000,6.17%,2.34%,1.93911838502618,21.82%,60.00%,50.00%,0.655,0.754,0.800,0.798,0.680,0.467
261,0.000,0.500,0.500,0.000,0.000,0.000,7.82%,1.97%,1.35446157422151,13.77%,55.00%,70.00%,0.720,0.700,0.492,0.453,0.560,0.733
262,0.500,0.000,0.000,0.500,0.000,0.000,6.85%,1.90%,1.52495734528824,16.28%,55.00%,40.00%,0.682,0.691,0.582,0.561,0.560,0.333
263,0.000,0.500,0.000,0.500,0.000,0.000,4.73%,1.23%,1.24737550166848,13.18%,65.00%,65.00%,0.598,0.594,0.435,0.427,0.800,0.667
264,0.000,0.000,0.500,0.500,0.000,0.000,9.84%,2.64%,1.59140867642691,16.61%,60.00%,55.00%,0.800,0.797,0.617,0.575,0.680,0.533
265,0.500,0.000,0.000,0.000,0.500,0.000,2.56%,0.74%,1.4207594823452,14.60%,55.00%,50.00%,0.512,0.522,0.527,0.488,0.560,0.467
266,0.000,0.500,0.000,0.000,0.500,0.000,4.60%,1.07%,1.09153718533456,10.99%,65.00%,75.00%,0.593,0.571,0.353,0.333,0.800,0.800
267,0.000,0.000,0.500,0.000,0.500,0.000,4.17%,1.10%,1.41954640636682,14.24%,55.00%,50.00%,0.576,0.575,0.526,0.473,0.560,0.467
268,0.000,0.000,0.000,0.500,0.500,0.000,3.57%,0.95%,1.20324449763971,12.94%,65.00%,60.00%,0.552,0.553,0.412,0.417,0.800,0.600
269,0.500,0.000,0.000,0.000,0.000,0.500,-2.34%,-0.62%,0.977324783773235,10.69%,65.00%,45.00%,0.318,0.326,0.293,0.321,0.800,0.400
270,0.000,0.500,0.000,0.000,0.000,0.500,0.62%,0.02%,0.864121719892631,8.73%,60.00%,50.00%,0.436,0.417,0.233,0.236,0.680,0.467
271,0.000,0.000,0.500,0.000,0.000,0.500,1.53%,0.33%,1.06693844484371,10.90%,55.00%,60.00%,0.472,0.463,0.340,0.330,0.560,0.600
272,0.000,0.000,0.000,0.500,0.000,0.500,0.11%,-0.06%,1.00770375166475,10.34%,55.00%,50.00%,0.415,0.406,0.309,0.305,0.560,0.467
273,0.000,0.000,0.000,0.000,0.500,0.500,1.00%,0.07%,0.800792483114351,7.88%,55.00%,45.00%,0.451,0.426,0.200,0.200,0.560,0.400
274,0.333,0.333,0.333,0.000,0.000,0.000,7.80%,2.13%,1.5092227906224,15.80%,55.00%,65.00%,0.720,0.724,0.573,0.540,0.560,0.667
275,0.333,0.333,0.000,0.333,0.000,0.000,6.43%,1.61%,1.34768636692003,13.80%,60.00%,50.00%,0.665,0.649,0.488,0.454,0.680,0.467
276,0.333,0.000,0.333,0.333,0.000,0.000,6.83%,2.02%,1.67432002788575,17.71%,55.00%,40.00%,0.681,0.708,0.660,0.622,0.560,0.333
277,0.000,0.333,0.333,0.333,0.000,0.000,8.05%,2.00%,1.33183787312862,13.57%,55.00%,65.00%,0.729,0.706,0.480,0.444,0.560,0.667
278,0.333,0.333,0.000,0.000,0.333,0.000,4.53%,1.09%,1.25650542122296,12.43%,60.00%,70.00%,0.590,0.573,0.440,0.395,0.680,0.733
279,0.333,0.000,0.333,0.000,0.333,0.000,6.73%,1.97%,1.61401802332804,17.39%,55.00%,60.00%,0.677,0.700,0.629,0.608,0.560,0.600
280,0.000,0.333,0.333,0.000,0.333,0.000,5.02%,1.18%,1.21094655360059,11.96%,55.00%,65.00%,0.609,0.587,0.416,0.375,0.560,0.667
281,0.333,0.000,0.000,0.333,0.333,0.000,5.02%,1.26%,1.3403148753313,13.66%,60.00%,55.00%,0.609,0.598,0.484,0.448,0.680,0.533
282,0.000,0.333,0.000,0.333,0.333,0.000,4.26%,1.07%,1.1593358089321,12.22%,65.00%,60.00%,0.580,0.570,0.389,0.386,0.800,0.600
283,0.000,0.000,0.333,0.333,0.333,0.000,7.89%,1.98%,1.37412028655447,14.05%,60.00%,65.00%,0.723,0.702,0.502,0.465,0.680,0.667
284,0.333,0.333,0.000,0.000,0.000,0.333,1.69%,0.32%,0.911257538148251,9.66%,65.00%,45.00%,0.478,0.462,0.258,0.276,0.800,0.400
285,0.333,0.000,0.333,0.000,0.000,0.333,0.02%,0.08%,1.22123936514828,13.00%,60.00%,50.00%,0.412,0.427,0.422,0.420,0.680,0.467
286,0.000,0.333,0.333,0.000,0.000,0.333,4.58%,1.02%,1.002048959969,10.09%,55.00%,55.00%,0.592,0.563,0.306,0.295,0.560,0.533
287,0.333,0.000,0.000,0.333,0.000,0.333,2.08%,0.48%,1.11725322700999,11.73%,55.00%,55.00%,0.493,0.485,0.367,0.365,0.560,0.533
288,0.000,0.333,0.000,0.333,0.000,0.333,2.22%,0.43%,0.948520311824013,9.71%,55.00%,40.00%,0.499,0.478,0.278,0.278,0.560,0.333
289,0.000,0.000,0.333,0.333,0.000,0.333,4.62%,1.12%,1.20404106746577,12.43%,55.00%,45.00%,0.594,0.577,0.413,0.395,0.560,0.400
290,0.333,0.000,0.000,0.000,0.333,0.333,1.77%,0.31%,0.924853412215125,9.36%,60.00%,50.00%,0.481,0.460,0.265,0.263,0.680,0.467
291,0.000,0.333,0.000,0.000,0.333,0.333,2.40%,0.43%,0.857932816811318,8.48%,65.00%,45.00%,0.506,0.478,0.230,0.226,0.800,0.400
292,0.000,0.000,0.333,0.000,0.333,0.333,1.72%,0.27%,0.905352419512736,8.98%,55.00%,50.00%,0.479,0.455,0.255,0.247,0.560,0.467
293,0.000,0.000,0.000,0.333,0.333,0.333,1.00%,0.11%,0.889153520370097,9.09%,60.00%,45.00%,0.451,0.431,0.247,0.252,0.680,0.400
294,0.250,0.250,0.250,0.250,0.000,0.000,9.61%,2.47%,1.48103126725664,15.36%,55.00%,50.00%,0.791,0.773,0.559,0.521,0.560,0.467
295,0.250,0.250,0.250,0.000,0.250,0.000,5.80%,1.46%,1.34710891328833,13.66%,55.00%,70.00%,0.640,0.627,0.488,0.448,0.560,0.733
296,0.250,0.250,0.000,0.250,0.250,0.000,6.42%,1.56%,1.21707790692659,12.51%,65.00%,65.00%,0.665,0.641,0.419,0.399,0.800,0.667
297,0.250,0.000,0.250,0.250,0.250,0.000,6.56%,1.81%,1.57902822205616,16.25%,55.00%,45.00%,0.670,0.677,0.610,0.559,0.560,0.400
298,0.000,0.250,0.250,0.250,0.250,0.000,6.77%,1.67%,1.26945020534147,13.04%,60.00%,55.00%,0.679,0.658,0.447,0.421,0.680,0.533
299,0.250,0.250,0.250,0.000,0.000,0.250,4.29%,1.04%,1.1360646330057,11.75%,60.00%,60.00%,0.581,0.566,0.377,0.366,0.680,0.600
300,0.250,0.250,0.000,0.250,0.000,0.250,3.36%,0.73%,0.996955142809022,10.25%,55.00%,60.00%,0.544,0.520,0.303,0.301,0.560,0.600
301,0.250,0.000,0.250,0.250,0.000,0.250,4.36%,1.16%,1.31225730127587,13.93%,60.00%,50.00%,0.584,0.583,0.470,0.460,0.680,0.467
302,0.000,0.250,0.250,0.250,0.000,0.250,5.13%,1.17%,1.07187977771776,10.85%,60.00%,60.00%,0.614,0.585,0.343,0.327,0.680,0.600
303,0.250,0.250,0.000,0.000,0.250,0.250,2.39%,0.42%,0.852324781014967,8.39%,55.00%,55.00%,0.506,0.476,0.227,0.222,0.560,0.533
304,0.250,0.000,0.250,0.000,0.250,0.250,2.07%,0.45%,1.09406169261229,11.22%,60.00%,60.00%,0.493,0.480,0.355,0.343,0.680,0.600
305,0.000,0.250,0.250,0.000,0.250,0.250,3.74%,0.76%,0.906347413776499,8.92%,55.00%,65.00%,0.559,0.526,0.256,0.245,0.560,0.667
306,0.250,0.000,0.000,0.250,0.250,0.250,3.09%,0.64%,0.979382952422397,10.05%,55.00%,65.00%,0.533,0.508,0.294,0.293,0.560,0.667
307,0.000,0.250,0.000,0.250,0.250,0.250,1.86%,0.34%,0.892118302906435,9.20%,65.00%,40.00%,0.485,0.464,0.248,0.257,0.800,0.333
308,0.000,0.000,0.250,0.250,0.250,0.250,3.67%,0.79%,1.04857062183432,10.51%,60.00%,55.00%,0.556,0.530,0.331,0.313,0.680,0.533
309,0.200,0.200,0.200,0.200,0.200,0.000,8.05%,2.00%,1.37197448621294,13.92%,55.00%,60.00%,0.729,0.705,0.501,0.459,0.560,0.600
310,0.200,0.200,0.200,0.200,0.000,0.200,5.49%,1.30%,1.18178448944104,11.92%,55.00%,55.00%,0.628,0.603,0.401,0.373,0.560,0.533
311,0.200,0.200,0.200,0.000,0.200,0.200,3.47%,0.74%,1.01077057592519,10.08%,55.00%,65.00%,0.548,0.522,0.311,0.294,0.560,0.667
312,0.200,0.200,0.000,0.200,0.200,0.200,3.37%,0.68%,0.918444485368479,9.20%,60.00%,60.00%,0.544,0.514,0.262,0.257,0.680,0.600
313,0.200,0.000,0.200,0.200,0.200,0.200,4.49%,1.04%,1.16287812738739,11.82%,55.00%,50.00%,0.588,0.566,0.391,0.369,0.560,0.467
314,0.000,0.200,0.200,0.200,0.200,0.200,4.05%,0.88%,0.998392016973973,10.06%,60.00%,65.00%,0.571,0.542,0.304,0.293,0.680,0.667
315,0.167,0.167,0.167,0.167,0.167,0.167,5.75%,1.29%,1.04848934634313,10.50%,55.00%,75.00%,0.638,0.602,0.331,0.312,0.560,0.800
